station,n_test,one_step_rmse,one_step_mae,one_step_r2,multi_step_rmse,multi_step_mae,multi_step_r2,multi_coverage_90,multi_interval_width,error
Aligarh Lodha Mahrawalpur Nagariya,672,0.1685,0.08,0.9328,0.804212151363956,0.5514649387768338,-0.5303922084361345,0.37797619047619047,0.3419818580150604,
Alipur,790,0.2893,0.2105,0.5461,0.9755817736929648,0.8943947209068491,-4.1603562261869325,0.07468354430379746,0.3389100730419159,
Alipur Aterna_1,789,19.9825,14.4112,-0.2562,17.372839879915965,10.88028812497892,0.05048572670681717,0.8314321926489227,0.7789760231971741,
Allahabad City (UP-046),940,0.3726,0.2964,0.5441,4.576674740640382,3.8091707243006283,-67.76682595138061,0.1574468085106383,7.233314514160156,
Allaiha Badhaiya,721,25.4859,17.7038,-0.8039,27.614228925917654,19.375864699915276,-1.1178019721824346,0.1941747572815534,0.11266031861305237,
Amauli (UP-027),1124,0.1584,0.0519,0.977,1.0935273811721278,0.7794343971714006,-0.09680996537249276,0.13434163701067617,0.39514151215553284,
Amchurnirua,861,9.6299,6.1712,0.6165,12.829167151695293,9.984190169117314,0.31933330022462825,0.4889663182346109,2.1862800121307373,
Amgaon (UP-067),1236,5.0395,3.5226,-0.7626,8.188535743815676,7.366474153654474,-3.6535373296029627,0.05906148867313916,0.6796565651893616,
Amliha_1,854,28.976,19.3803,-2.1381,21.792155230281633,14.490249715264563,-0.7749796157884887,0.04566744730679157,0.2131001055240631,
Amlour,872,37.7152,25.6175,-1.0273,30.041089413579485,27.65176456475477,-0.2862321339848217,0.03784403669724771,29.39467430114746,
"Amroha Forest Department, Medium",935,0.1169,0.0888,0.8176,0.36446404123803977,0.30189262900938957,-0.7735922500536501,0.3155080213903743,0.30457958579063416,
"Amroha Forest Department, Shallow",941,0.1111,0.0655,0.8863,0.27164802502688934,0.20953447840951075,0.3197086924493808,0.4155154091392136,0.2380596101284027,
"Anganwadi Kedra, Baini",683,0.1944,0.1347,0.4635,0.3202492799456966,0.26855240429163324,-0.4557496664413283,0.27232796486090777,0.6274775862693787,
Artauli_1,555,0.0005,0.0005,-5.338951785807922e+21,6.780694747698673,5.346821700903746,-9.106845737388537e+29,0.9513513513513514,0.9016569256782532,
Aryavart Madhyamik Vidhyalaya Sindhora,683,0.2908,0.1731,0.9038,1.6185616405326035,1.349053807544848,-1.9806199548605612,0.10834553440702782,0.3226657807826996,
Asafpur (UP-077),1238,0.0292,0.0182,0.992,0.3241683072828357,0.2791790278346935,0.009882363969076047,0.12924071082390953,0.1513320654630661,
Ashapur Dak Banglow-Malawan-Medium,911,0.1228,0.0754,0.821,1.0343364901613648,0.9449748630795861,-11.704424510016755,0.07354555433589462,0.48939642310142517,
Ashapur Dak Banglow-Malawan-Shallow,833,0.3867,0.2378,0.7312,0.9708017862740426,0.8527117910946118,-0.6947742869208795,0.024009603841536616,0.17076827585697174,
Aspur Deosara (UP-040),1111,0.1122,0.06,0.9845,1.7685767306765032,1.5219430152110214,-2.847779455514171,0.2151215121512151,0.9029988050460815,
Aswaniya Pr. Vid.,790,0.2353,0.1745,0.904,1.5978213470200784,1.4044990529676027,-3.42565251953583,0.09620253164556962,0.4341994524002075,
Atarahat,742,32.7853,23.76,-1.0417,32.744139645328225,23.353207174337136,-1.0366123918629078,0.0026954177897574125,0.10588590055704117,
Atrada Pi_1,809,38.1032,30.0564,-1.6126,35.721336984995986,26.51433211987923,-1.29615901540209,0.0012360939431396785,0.8924990296363831,
Aurai (UP-150),920,0.7582,0.3929,0.762,2.728238401784806,2.2168462263356083,-2.081972604294802,0.2,0.7978740930557251,
Awagarh (UP-005),1092,0.7533,0.4723,0.7752,2.499820660613945,2.0143308200766317,-1.4762505756565507,0.28296703296703296,1.6392905712127686,
Azamgarh Ahiraula Bahera,610,0.0939,0.079,0.958,1.4537220679962084,1.3600573601081722,-9.067149696023826,0.027868852459016394,0.4041087031364441,
Azamgarh Ahiraula Kandara,546,0.0661,0.0526,0.9585,0.43900158794761074,0.30533430251446403,-0.8311029164811017,0.24358974358974358,0.06470263004302979,
Azamgarh Atrauliya Atrauliya,605,0.8047,0.6339,-1.9017,0.8067376023642644,0.6343736447333304,-1.9163935253177553,0.2628099173553719,0.2639792561531067,
Azamgarh Jahanganj Godhaura,582,0.0959,0.0784,0.0418,0.14775912920637488,0.12085585511591017,-1.2746312291509123,0.31099656357388317,0.12777478992938995,
Azamgarh Lalganj Lalganj,577,0.2172,0.1449,0.877,0.9172712067273285,0.6495007522523507,-1.1930429309536192,0.24436741767764297,0.16029666364192963,
Azamgarh Palhana Balahi Lahucha,612,0.0754,0.0583,-0.0797,0.07225745652692213,0.057876149127685926,0.008613714349818724,0.6356209150326797,0.18385586142539978,
Azamgarh Palhana Jamui Bhatauli,624,0.0885,0.0695,0.6554,0.27486378182120613,0.23634536824470914,-2.3241530108489856,0.1987179487179487,0.2350044995546341,
Azamgarh Pavai Velasiya,617,0.2441,0.1646,0.9595,0.8517370555493357,0.5687936581807932,0.5064988930947762,0.5121555915721232,0.7617733478546143,
Azamgarh Sathiyavn Gajahada,619,0.6539,0.4,0.1879,0.7197428904879987,0.3596519952844919,0.016136836835393353,0.18578352180936994,0.24245959520339966,
Azamgarh Thekama Bardah,601,0.8442,0.6837,-0.0747,1.4607559862976105,1.2651362430363051,-2.2178054290383273,0.07321131447587355,0.27034303545951843,
BADHANI PRATHMIK VIDYALAYA,693,0.3274,0.2653,0.8102,1.714320969849859,1.5514075100721219,-4.202416855863328,0.06926406926406926,0.38904479146003723,
Baba BelkharNath Dham (UP-045),1144,0.4966,0.4146,-2.6088,0.5921576990443489,0.5147790722080045,-4.132326456333782,0.0026223776223776225,0.184185191988945,
Babina Rular,795,20.8095,14.3329,-0.8713,20.825905467430232,14.351685463383513,-0.8742470281796626,0.42641509433962266,0.08727848529815674,
Badagaon (UP-049),1150,0.3018,0.1621,0.9444,2.720092658936854,2.538989298818837,-3.5179613134762517,0.06869565217391305,1.2480099201202393,
Badagaon_1,626,40.5606,31.8207,-1.5351,42.788642271930975,33.878347465710135,-1.8212672407024528,0.17891373801916932,0.3240373134613037,
Badalpur (UP-091),1071,0.1893,0.1193,0.8938,0.6284656955034041,0.5228481754691215,-0.1711453314846283,0.2203548085901027,0.31297004222869873,
Badaun Salarpur BDO Office,622,0.1288,0.054,0.9195,0.397713644563865,0.24524113280366858,0.23300193918903922,0.23633440514469453,0.24760490655899048,
Badaun Ujhani Sports Stadium,664,0.0505,0.0349,0.9209,0.18763871176380092,0.1513424427538033,-0.0905930924370093,0.37198795180722893,0.1716718077659607,
Badaun Usawan BDO Office,617,0.0798,0.0606,0.8854,0.12191497001790737,0.10215762015022763,0.7326050454752873,0.6061588330632091,0.22477850317955017,
Badhai Khurd Pr. Vid.,805,0.476,0.2198,0.5738,1.1161204834936393,0.962836042657698,-1.3434199210028153,0.10434782608695652,0.569362461566925,
Badhouli,798,39.6137,28.0043,-0.8993,40.9732917899819,29.0158187541149,-1.0319234876025987,0.10902255639097744,0.12552496790885925,
Bagadari,853,24.5119,16.6522,-1.0363,23.159854741695273,16.072783257237354,-0.8178782801578219,0.3563892145369285,1.1309094429016113,
Baghora_1,778,22.5323,13.3315,-0.3994,23.496607953432125,13.951371301096938,-0.5217042669220173,0.10154241645244216,0.246013343334198,
Baghpat Meerut Kheda Balrampur Itiyara,720,0.0538,0.0274,0.9662,0.34134783559657783,0.2499029580116272,-0.36398177712375723,0.19444444444444445,0.12905646860599518,
Baghpat Sardhana Julaida,164,0.1349,0.0974,0.3678,0.18431229576285987,0.1568574296439567,-0.1804121119529738,0.8475609756097561,0.46803873777389526,
Baghura_1,771,22.3314,15.8561,-0.7753,21.097238652284002,16.16830676522855,-0.5844691848268346,0.016861219195849545,2.3064193725585938,
Bahjoi (UP-128),1148,0.7949,0.6984,-0.8445,1.4263385905398418,1.3070037951984472,-4.938894829512183,0.05749128919860627,0.15604150295257568,
Bahuwa (UP-024),977,0.3256,0.2562,0.8393,0.7699221658818863,0.7186057240262613,0.10121095109536726,0.038894575230296824,0.34209880232810974,
Baije mau,780,22.6687,15.1123,0.2576,35.0529339296885,23.37165136532906,-0.7752652528088624,0.55,0.6011149883270264,
Bajehta_1,360,2.9708,0.7833,0.3637,9.796177753813186,6.108867085605859,-5.918987147642608,0.09166666666666666,1.3245761394500732,
