station,label,reason,coverage,shallow_error,gwl_span,n_obs,tail_half_width,half_width_at_horizon,horizon_days,max_depth
Agan Wadi Kendra Kuchendu,reliable,held-out calibrated coverage at/above floor,0.8293,0.1568,59.364,1790,15.6487,15.6487,90.0,562
Aaganwadi Kendra Pakri Bazaar,reliable,held-out calibrated coverage at/above floor,0.9198,0.0106,31.688,1740,1.1124,0.8628,90.0,671
750825- Primary Sch Shivrampur -Medium,reliable,held-out calibrated coverage at/above floor,0.771,0.1539,85.216,1845,7.3766,4.2786,90.0,1085
Abdullahpur Primary School -Medium,reliable,held-out calibrated coverage at/above floor,0.9215,0.0672,5.09,1840,0.8839,0.292,90.0,1155
Aaganwadi Kender Khanjarpur,reliable,held-out calibrated coverage at/above floor,0.8165,0.0394,36.535,1751,2.7192,2.3546,90.0,687
750523- Kakalpur PMS -Medium,reliable,held-out calibrated coverage at/above floor,0.8635,0.0626,4.723,1693,1.0914,0.7221,90.0,568
Aaganwadi Kender Kakrawali,reliable,held-out calibrated coverage at/above floor,0.9062,0.0722,32.175,1557,3.0292,0.797,90.0,676
390713- Jairampur PMS -Shallow,reliable,held-out calibrated coverage at/above floor,0.7908,0.0099,0.754,1526,0.395,0.1542,90.0,1218
750128- PMS Sulemapur -Medium,reliable,held-out calibrated coverage at/above floor,0.9281,0.0241,2.835,1507,0.1062,0.1062,90.0,838
Aadarsh Kisaan Inter College Bhabhuwa,weak,data-quality: error dominates GWL range,0.986,25.9963,48.358,1188,26.6232,26.6232,90.0,1230
Baghpat Sardhana Julaida,reliable,held-out calibrated coverage at/above floor,0.9146,0.0745,5.095,937,0.2351,0.2351,90.0,189
Aligarh Chandaus Lohput,reliable,held-out calibrated coverage at/above floor,0.7835,0.0265,1.027,602,0.4611,0.4611,90.0,3706
Aanganwadi kendra,reliable,held-out calibrated coverage at/above floor,0.9692,0.3173,46.923,2552,4.4692,4.0455,90.0,1281
