feature,coef,abs_coef
num__gwl,-9.73429818383282,9.73429818383282
num__lag1,0.26249261950886194,0.26249261950886194
num__lag4,-0.348085448273892,0.348085448273892
num__lag8,-0.29559207775505314,0.29559207775505314
num__lag28,0.10476496329624574,0.10476496329624574
num__lag120,-1.0215670014898213,1.0215670014898213
num__gwl_roll7_mean,5.728384979332738,5.728384979332738
num__gwl_roll7_std,-0.15144225991558224,0.15144225991558224
num__gwl_roll30_mean,-3.0314832082477494,3.0314832082477494
num__gwl_roll30_std,0.718919526482322,0.718919526482322
num__rain_1d,0.01033501888086441,0.01033501888086441
num__rain_7d,-0.005436408297153417,0.005436408297153417
num__rain_30d,0.12619950175714323,0.12619950175714323
num__temp,-0.01402739673645173,0.01402739673645173
num__temp_7d,0.009003862122021977,0.009003862122021977
num__humidity,0.019063126590260708,0.019063126590260708
num__humidity_7d,-0.01609705446131976,0.01609705446131976
num__solar,-0.026203592967752744,0.026203592967752744
num__wind_speed,-0.03490475094388579,0.03490475094388579
num__pressure,0.04933604744048729,0.04933604744048729
num__river_level,-0.04207387158110029,0.04207387158110029
num__canal_level,-0.06410400319246602,0.06410400319246602
num__year,-0.0431859989827067,0.0431859989827067
num__month_sin,-0.07849777968885707,0.07849777968885707
num__month_cos,-0.042316145682574025,0.042316145682574025
num__doy_sin,-0.4316540580886219,0.4316540580886219
num__doy_cos,0.10383692009722889,0.10383692009722889
num__hour_sin,0.036282077308829236,0.036282077308829236
num__hour_cos,-0.04405554140013551,0.04405554140013551
num__monsoon,-0.1686452433148804,0.1686452433148804
cat__Station_ASHADHA PRATHMIK VIDYALAYA,3.3452527753547656,3.3452527753547656
cat__Station_Aagan Wadi Kendra Chandni,2.3199131364590357,2.3199131364590357
cat__Station_Aaganwadi Kendra Pakri Bazaar,0.22366913989077375,0.22366913989077375
"cat__Station_Adarsh Primary School, Dubar Kalan",4.60826029187524,4.60826029187524
cat__Station_Agan Wadi Kendra Kuchendu,-14.104343934530334,14.104343934530334
cat__Station_Alakchandra Inter college Bhinga,-1.2415533272832135,1.2415533272832135
cat__Station_Aligarh Chandaus  Somana,2.9356697649988632,2.9356697649988632
cat__Station_Aligarh Chandaus Maharajpur,3.298841229683262,3.298841229683262
cat__Station_Aligarh Jawa Bahadurpur Kota,0.3967793031337692,0.3967793031337692
cat__Station_Aligarh Jawa Jamalpur Siya,-2.8469563818420056,2.8469563818420056
cat__Station_Aligarh Jawa Sogera,3.6575763639863794,3.6575763639863794
cat__Station_Aligarh Khair Arrana,3.243997614526279,3.243997614526279
cat__Station_Aligarh Khair Utwara,3.229563303742509,3.229563303742509
