station,district,anchor,date_from,age_days,anchor_valid,xgb_level,q05_level,q50_level,q95_level,change_30d_m,change_pooled_m,band_half_m,plausible,category
Primary School Jagannathpur,BAREILLY,-15.124,2026-09-05 00:00:00,5,True,-14.878,-16.557,-15.084,-12.419,0.04,0.246,2.069,True,stable
Prathmik Vidhyalaya Takuli (Durahi Maafi),BANDA,-1.023,2026-09-05 00:00:00,5,True,-0.986,-2.469,-1.092,-0.333,-0.069,0.037,1.068,True,stable
"Primary School, Salhepur",FATEHPUR,-25.39,2026-09-05 00:00:00,5,True,-25.1,-26.856,-25.366,-20.938,0.024,0.29,2.959,True,stable
Upper Primary School Sarahan Bujurg,FATEHPUR,-58.39,2026-09-05 00:00:00,5,True,-58.144,-59.811,-58.342,-56.126,0.048,0.246,1.842,True,stable
Primary School Chobla,MEERUT,-6.708,2026-09-05 00:00:00,5,True,-6.447,-8.141,-6.674,-2.755,0.034,0.261,2.693,True,stable
Primary School Sahori,ETAH,-8.342,2026-09-05 00:00:00,5,True,-8.096,-9.765,-8.279,-5.603,0.063,0.246,2.081,True,stable
Goshala Bada Gaon,BANDA,-1.736,2026-09-05 00:00:00,5,True,-2.748,-3.183,-1.72,0.214,0.016,-1.012,1.698,True,stable
Goshala Pachhahan,BANDA,-16.204,2026-09-05 00:00:00,5,True,-15.943,-17.647,-16.176,-11.182,0.028,0.261,3.233,True,stable
Purva Madhyamik Vidhyalaya Piphara,ETAH,-8.01,2026-09-05 00:00:00,5,True,-7.764,-9.433,-7.947,-5.671,0.063,0.246,1.881,True,stable
"Pratmik Vidhyalaya, Kakaruwa",LALITPUR,-3.826,2026-09-05 00:00:00,5,True,-3.481,-5.265,-3.704,-0.224,0.122,0.345,2.521,True,stable
Primary School Harivanshpur,SIDDHARTHNAGAR,-2.57,2026-09-05 00:00:00,5,True,-2.374,-3.997,-2.484,-0.477,0.086,0.196,1.76,True,stable
Uccha Prathmik Vidhyalaya Odera,HAMIRPUR,-0.053,2026-09-05 00:00:00,5,True,-0.035,-1.492,-0.123,0.266,-0.07,0.018,0.879,True,stable
Primary School Jagdishpur Pratham,GORAKHPUR,-3.441,2026-09-05 00:00:00,5,True,-3.167,-4.874,-3.355,-0.895,0.086,0.274,1.989,True,stable
Kushinagar Khadda Khadda,KUSHINAGAR,-1.27,2026-09-05 00:00:00,5,True,-1.233,-2.703,-1.348,-0.399,-0.078,0.037,1.152,True,stable
Panchayat Bhawan Kuda Nar Singhpur,BUDAUN,,2026-09-05 00:00:00,5,False,,,,,-0.427,-0.427,,False,unreliable
Primary School Bilona,FATEHPUR,-11.143,2026-09-05 00:00:00,5,True,-10.853,-12.609,-11.115,-4.81,0.028,0.29,3.9,True,stable
Uccha Prathmik Vidhyalaya Uldan,JHANSI,-9.625,2026-09-05 00:00:00,5,True,-9.197,-11.091,-9.508,-2.363,0.117,0.428,4.364,True,stable
"Uccha Prathmik Vidhyalaya, Gangapur",FATEHPUR,-23.4,2026-09-05 00:00:00,5,True,-23.11,-24.866,-23.376,-19.419,0.024,0.29,2.723,True,stable
B.D.O. Office Lar,DEORIA,-5.351,2026-09-05 00:00:00,5,True,-5.077,-6.776,-5.271,-2.161,0.08,0.274,2.307,True,stable
Primary School Charkonwa,SONBHADRA,-1.762,2026-09-05 00:00:00,5,True,-1.725,-3.192,-1.821,-0.472,-0.059,0.037,1.36,True,stable
Primary School Mainhe hardo,SIDDHARTHNAGAR,-0.224,2026-09-05 00:00:00,5,True,-0.206,-1.657,-0.295,0.74,-0.071,0.018,1.199,True,stable
"Uccha Prathmik Vidhyalaya, Kapsarh",MEERUT,-2.754,2026-09-05 00:00:00,5,True,-2.617,-4.182,-2.732,-0.754,0.022,0.137,1.714,True,stable
Primary School Kucharam,CHITRAKOOT,-9.961,2026-08-26 18:00:00,14,True,-9.671,-11.427,-9.889,-4.914,0.072,0.29,3.257,True,stable
Composite School Sagarpur,MIRZAPUR,-0.672,2026-09-05 00:00:00,5,True,-1.703,-2.118,-0.626,1.073,0.046,-1.031,1.596,True,stable
Composite Girls Primary School Mai,JALAUN,-27.732,2026-09-04 06:00:00,5,True,-27.375,-29.153,-27.686,-24.912,0.046,0.357,2.12,True,stable
Panchayat Bhawan Usmanpur,BUDAUN,-6.225,2026-09-05 00:00:00,5,True,-5.979,-7.65,-6.173,-3.271,0.052,0.246,2.189,True,stable
Purva Madhyamik Vidhyalaya Bhitaura,JHANSI,-3.237,2026-09-05 00:00:00,5,True,-2.993,-4.676,-3.141,-0.765,0.096,0.244,1.955,True,stable
