station,district,anchor,date_from,age_days,anchor_valid,xgb_level,q05_level,q50_level,q95_level,change_30d_m,change_pooled_m,band_half_m,plausible,category
Pathrodi,CHITRAKOOT,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Sikhula Pz._1,BANDA,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Amchurnirua,CHITRAKOOT,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Shitalpur_1,CHITRAKOOT,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Luktra,BANDA,,2026-09-04 18:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Jamalpur_2,LALITPUR,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Chakara  P_1,JHANSI,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
"Jr. High School, Purwa Tarouha",CHITRAKOOT,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
"Primary School, Bamhauri",JHANSI,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
High School & Inter College Boroda,MUZAFFARNAGAR,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Naglakabu_1,MEERUT,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Dhikauli,JHANSI,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Pahara_2,CHITRAKOOT,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Narajit,BANDA,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Satti Chau Prathmik Vidyalaya,SHRAWASTI,-6.751,2026-09-05 00:00:00,5,True,-6.49,-8.181,-6.723,-1.855,0.028,0.261,3.163,True,stable
Bijijauri_1,MAHOBA,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Kusarma,MAHOBA,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Chorwa Bhari Prathmik Vidyalaya,SHRAWASTI,-2.726,2026-09-05 00:00:00,5,True,-2.589,-4.156,-2.704,-0.85,0.022,0.137,1.653,True,stable
Alakchandra Inter college Bhinga,SHRAWASTI,-5.045,2026-09-05 00:00:00,5,True,-4.83,-6.475,-5.017,-1.061,0.028,0.215,2.707,True,stable
Niwabhari Prathmik Vidyalaya,SHRAWASTI,-2.224,2026-09-05 00:00:00,5,True,-2.187,-3.654,-2.213,-0.719,0.011,0.037,1.467,True,stable
Badhouli,HAMIRPUR,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Chandi Kalan,HAMIRPUR,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Madarpur_1,HAMIRPUR,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Lagdi Gullar Prathmik Vidyalaya,SHRAWASTI,-4.533,2026-09-05 00:00:00,5,True,-4.318,-5.963,-4.505,-1.668,0.028,0.215,2.147,True,stable
Gloragundera/Gewara,LALITPUR,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Babina Rular,JHANSI,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Kamhariya_1,HAMIRPUR,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Baghpat Meerut Kheda Balrampur Itiyara,MEERUT,-12.024,2026-09-04 12:00:00,5,True,-11.778,-13.449,-11.976,-9.141,0.048,0.246,2.154,True,stable
Saital,GORAKHPUR,-5.033,2026-09-05 00:00:00,5,True,-4.759,-6.461,-4.939,-0.605,0.094,0.274,2.928,True,stable
Birdha /Poorabirdha,LALITPUR,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
PRIMARY SCHOOL BAKAR GANJ,KAUSHAMBI,-19.071,2026-09-05 00:00:00,5,True,-18.81,-20.514,-19.043,-14.216,0.028,0.261,3.149,True,stable
SWASTH KENDR PIPIGANJ,GORAKHPUR,-3.639,2026-09-05 00:00:00,5,True,-3.365,-5.069,-3.525,-0.954,0.114,0.274,2.057,True,stable
PAHARPUR BARIGAWA PRATHMIK VIDYALAYA,FATEHPUR,-20.22,2026-09-04 12:00:00,5,True,-19.959,-21.665,-20.192,-14.924,0.028,0.261,3.371,True,stable
SARAHARI PRATHMIK VIDYALAYA,GORAKHPUR,-4.514,2026-09-05 00:00:00,5,True,-4.24,-5.944,-4.42,-0.28,0.094,0.274,2.832,True,stable
Mathura Chaumuha Navagaon-11,MATHURA,-11.623,2026-09-04 00:00:00,6,True,-11.333,-13.081,-11.597,-6.329,0.026,0.29,3.376,True,stable
ASHADHA PRATHMIK VIDYALAYA,KAUSHAMBI,-6.001,2026-09-05 00:00:00,5,True,-5.74,-7.431,-5.973,-1.217,0.028,0.261,3.107,True,stable
BANI KHAS C.V. VIDYALAYA,KAUSHAMBI,-12.936,2026-09-05 00:00:00,5,True,-12.675,-14.389,-12.908,-8.274,0.028,0.261,3.058,True,stable
RASULPUR BARGAON RAJKIYA UCHTTAR PRATHAMIK VIDYALAYA,KAUSHAMBI,-21.723,2026-09-05 00:00:00,5,True,-21.462,-23.189,-21.695,-17.229,0.028,0.261,2.98,True,stable
"Primary School Sahjanwa , Pratham Pipra",GORAKHPUR,-6.233,2026-09-05 00:00:00,5,True,-5.876,-7.661,-6.139,-0.639,0.094,0.357,3.511,True,stable
Primary School Harinahpur,MIRZAPUR,-16.345,2026-09-04 06:00:00,5,True,-15.988,-17.778,-16.241,-10.591,0.104,0.357,3.593,True,stable
PRIMARY SCHOOL RAMUGHAT,GORAKHPUR,-4.446,2026-09-05 00:00:00,5,True,-4.172,-5.876,-4.336,0.111,0.11,0.274,2.993,True,stable
"Primary School, Kantit",MIRZAPUR,-3.16,2026-09-05 00:00:00,5,True,-2.886,-4.59,-3.045,-0.566,0.115,0.274,2.012,True,stable
BADHANI PRATHMIK VIDYALAYA,GORAKHPUR,-4.104,2026-09-05 00:00:00,5,True,-3.83,-5.534,-4.018,-0.473,0.086,0.274,2.531,True,stable
Mathura Nandgaon Nandgaon Dehat,MATHURA,-3.055,2026-09-04 00:00:00,6,True,-2.856,-4.48,-3.01,-1.566,0.045,0.199,1.457,True,stable
Hathras Hathras Hathras,HATHRAS,-3.862,2026-09-05 00:00:00,5,True,-3.618,-5.308,-3.841,-0.447,0.021,0.244,2.431,True,stable
MANDHATA PURV MADHYAMIK VIDYALAYA,PRATAPGARH,-10.016,2026-09-05 00:00:00,5,True,-9.755,-11.446,-9.988,-5.452,0.028,0.261,2.997,True,stable
HARNHAPUR PRATHAMIK VIDYALAYA,PRATAPGARH,-17.545,2026-09-05 00:00:00,5,True,-17.188,-18.988,-17.435,-12.554,0.11,0.357,3.217,True,stable
Primary School Karwal,GORAKHPUR,-6.291,2026-09-05 00:00:00,5,True,-5.863,-7.73,-6.186,-0.656,0.105,0.428,3.537,True,stable
"Panchayat Bhwan, Kon",SONBHADRA,-23.095,2026-09-05 00:00:00,5,True,-22.738,-24.548,-23.005,-17.216,0.09,0.357,3.666,True,stable
FAREDUPUR PRATHMIK VIDYALAYA,PRATAPGARH,-6.869,2026-09-05 00:00:00,5,True,-6.608,-8.299,-6.841,-1.925,0.028,0.261,3.187,True,stable
"Primary School, Kaparwar",DEORIA,-5.247,2026-09-05 00:00:00,5,True,-4.973,-6.677,-5.153,-0.593,0.094,0.274,3.042,True,stable
"Adarsh Primary School, Dubar Kalan",MIRZAPUR,-2.32,2026-09-05 00:00:00,5,True,-2.168,-3.75,-2.218,-0.117,0.102,0.152,1.817,True,stable
Kukwa Khaas,BANDA,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
"Panchayat Bhawan, Dohri",MIRZAPUR,-10.535,2026-09-05 00:00:00,5,True,-10.178,-11.965,-10.408,-4.471,0.127,0.357,3.747,True,stable
Pv. Compiergang,GORAKHPUR,-2.877,2026-09-05 00:00:00,5,True,-2.681,-4.307,-2.763,-0.69,0.114,0.196,1.809,True,stable
"Purv Madh Vidhyalaya, Shivpur",SONBHADRA,-4.574,2026-09-05 00:00:00,5,True,-4.3,-6.004,-4.47,-1.237,0.104,0.274,2.383,True,stable
"Primary School, Kalani Khurad",GORAKHPUR,-4.171,2026-09-05 00:00:00,5,True,-3.897,-5.604,-4.085,-0.602,0.086,0.274,2.501,True,stable
Primary School Keshawpur Pratham,GORAKHPUR,-7.243,2026-09-05 00:00:00,5,True,-6.886,-8.671,-7.149,-0.691,0.094,0.357,3.99,True,stable
Meerut Janikhurd Satvai,MEERUT,-2.113,2026-09-05 00:00:00,5,True,-2.076,-3.543,-2.104,-0.839,0.009,0.037,1.352,True,stable
Prathmik Vidhyalaya Mahugarh,MIRZAPUR,-1.941,2026-09-05 00:00:00,5,True,-1.904,-3.371,-2.002,-0.216,-0.061,0.037,1.577,True,stable
"Primary School, Narokhar",SONBHADRA,-3.18,2026-09-05 00:00:00,5,True,-2.906,-4.61,-3.082,-1.141,0.098,0.274,1.734,True,stable
DEOCHALI C.V. VIDYALAYA,FATEHPUR,-10.819,2026-09-05 00:00:00,5,True,-10.558,-12.257,-10.791,-5.519,0.028,0.261,3.369,True,stable
"Primary School, Dhanaura Tikari",BAGHPAT,-23.827,2026-09-04 00:00:00,6,True,-23.537,-25.293,-23.803,-18.88,0.024,0.29,3.207,True,stable
BANSGAON PRATHMIK VIDYALAYA,GORAKHPUR,-4.556,2026-09-05 00:00:00,5,True,-4.282,-5.989,-4.47,-0.97,0.086,0.274,2.509,True,stable
"Primary School, Brahmpur",GORAKHPUR,-6.311,2026-09-05 00:00:00,5,True,-5.954,-7.741,-6.217,0.243,0.094,0.357,3.992,True,stable
Chhibaw_1,BANDA,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
"Mahadeva Temple, Mahadeva",SANT RAVIDAS NAGAR,-15.476,2026-09-05 00:00:00,5,True,-15.215,-16.929,-15.448,-11.577,0.028,0.261,2.676,True,stable
"Irrigation Department, Amawar",SONBHADRA,-5.2,2026-09-05 00:00:00,5,True,-4.926,-6.63,-5.095,-1.045,0.105,0.274,2.792,True,stable
"Community Center, Ghorawal",SONBHADRA,-5.561,2026-09-05 00:00:00,5,True,-5.233,-6.994,-5.446,-0.973,0.115,0.328,3.01,True,stable
Primary School Babura,MIRZAPUR,-10.073,2026-09-05 00:00:00,5,True,-9.753,-11.503,-9.951,-4.936,0.122,0.32,3.283,True,stable
"Primary School, Kevtam",SONBHADRA,-5.003,2026-09-05 00:00:00,5,True,-4.729,-6.433,-4.888,-0.071,0.115,0.274,3.181,True,stable
"Primary School, Pakarhut",SONBHADRA,-4.113,2026-09-05 00:00:00,5,True,-3.839,-5.543,-3.998,-0.25,0.115,0.274,2.646,True,stable
"Primary School, Sirjam",DEORIA,-3.093,2026-09-05 00:00:00,5,True,-2.819,-4.523,-2.996,-0.816,0.097,0.274,1.853,True,stable
"Primary School, Tewalagarhi",BAGHPAT,-21.361,2026-09-04 00:00:00,6,True,-21.071,-22.827,-21.337,-17.081,0.024,0.29,2.873,True,stable
"Purv Madhyamik Vidyalaya,Bharpura",MIRZAPUR,-12.466,2026-09-05 00:00:00,5,True,-12.109,-13.919,-12.362,-5.981,0.104,0.357,3.969,True,stable
Mathura Rayan Kharaba,MATHURA,-12.977,2026-09-05 00:00:00,5,True,-12.731,-14.404,-12.93,-9.601,0.047,0.246,2.402,True,stable
"Purv Madhyamik Vidhyalaya, Fattupur",SANT RAVIDAS NAGAR,-13.358,2026-09-05 00:00:00,5,True,-13.001,-14.811,-13.243,-6.771,0.115,0.357,4.02,True,stable
"Primary School, Bartha Lala",DEORIA,-5.664,2026-09-05 00:00:00,5,True,-5.307,-7.092,-5.57,-0.632,0.094,0.357,3.23,True,stable
Primary School  Maharaji,GORAKHPUR,-3.736,2026-09-05 00:00:00,5,True,-3.462,-5.166,-3.642,-1.037,0.094,0.274,2.065,True,stable
Bdo Office Campus Pipraich,GORAKHPUR,-3.886,2026-09-05 00:00:00,5,True,-3.612,-5.314,-3.792,-1.036,0.094,0.274,2.139,True,stable
Primary School  Bihasara,MIRZAPUR,-11.144,2026-09-05 00:00:00,5,True,-10.787,-12.577,-11.034,-5.53,0.11,0.357,3.523,True,stable
"Thana Prisar, Lalganj",MIRZAPUR,-4.708,2026-09-05 00:00:00,5,True,-4.434,-6.138,-4.598,-1.41,0.11,0.274,2.364,True,stable
"Purv Madhyamik Vidyalaya, Ranibari",MIRZAPUR,-7.563,2026-09-05 00:00:00,5,True,-7.243,-8.993,-7.459,-2.486,0.104,0.32,3.253,True,stable
"Primary School, Jhaaro Kalan",SONBHADRA,-6.056,2026-09-05 00:00:00,5,True,-5.699,-7.489,-5.962,-0.683,0.094,0.357,3.403,True,stable
"Primary School, Shivpur",MIRZAPUR,-10.723,2026-09-05 00:00:00,5,True,-10.366,-12.153,-10.63,-4.507,0.093,0.357,3.823,True,stable
"Primary School, Narouiya Daamar",SONBHADRA,-14.139,2026-09-05 00:00:00,5,True,-13.782,-15.592,-14.045,-6.72,0.094,0.357,4.436,True,stable
"Roadways Bus Stand, Robertsganj",SONBHADRA,-1.935,2026-09-05 00:00:00,5,True,-1.898,-3.365,-1.958,-0.232,-0.023,0.037,1.567,True,stable
Primary School  Biraura,MIRZAPUR,-16.987,2026-09-05 00:00:00,5,True,-16.667,-18.44,-16.865,-12.278,0.122,0.32,3.081,True,stable
"Purv Madh Vidhyalaya, Doomradeeh",SONBHADRA,-8.355,2026-09-05 00:00:00,5,True,-7.998,-9.788,-8.261,-1.355,0.094,0.357,4.216,True,stable
"Primary School, Mithabel",GORAKHPUR,-4.765,2026-09-05 00:00:00,5,True,-4.491,-6.198,-4.667,-0.743,0.098,0.274,2.728,True,stable
"Purv Madhyamik Vidyalaya, Mujehra",MIRZAPUR,-12.643,2026-09-05 00:00:00,5,True,-12.323,-14.096,-12.528,-7.248,0.115,0.32,3.424,True,stable
"Nagar Palika Campus, Gyanpur",SANT RAVIDAS NAGAR,-8.87,2026-09-05 00:00:00,5,True,-8.55,-10.3,-8.755,-3.744,0.115,0.32,3.278,True,stable
KOSHAK IMAM PRATHMIK VIDYALAYA,KAUSHAMBI,-13.069,2026-09-05 00:00:00,5,True,-12.871,-14.502,-13.044,-8.126,0.025,0.198,3.188,True,stable
"Primary School, Chariya Bujrag",DEORIA,-4.184,2026-09-05 00:00:00,5,True,-3.91,-5.614,-4.098,-1.403,0.086,0.274,2.105,True,stable
"Anganwadi Kedra, Baini",SONBHADRA,-0.998,2026-09-05 00:00:00,5,True,-0.961,-2.426,-1.064,-0.018,-0.066,0.037,1.204,True,stable
Aryavart Madhyamik Vidhyalaya Sindhora,MIRZAPUR,-7.112,2026-09-05 00:00:00,5,True,-6.755,-8.542,-6.997,-0.788,0.115,0.357,3.877,True,stable
"Purv Madhyamik Vidhyalaya, Doriya",SONBHADRA,-3.39,2026-09-05 00:00:00,5,True,-3.116,-4.82,-3.275,-0.768,0.115,0.274,2.026,True,stable
HOLAGARH PURV MADHYAMIK VIDYALAYA,PRATAPGARH,-4.498,2026-09-05 00:00:00,5,True,-4.283,-5.928,-4.474,-1.4,0.024,0.215,2.264,True,stable
Primary School Jainpur,GORAKHPUR,-1.101,2026-09-05 00:00:00,5,True,-1.064,-2.531,-1.179,-0.198,-0.078,0.037,1.166,True,stable
"Primary School, Sirasi",SONBHADRA,-4.616,2026-09-05 00:00:00,5,True,-4.342,-6.046,-4.512,-0.987,0.104,0.274,2.529,True,stable
"Primary School, Dhankharpur",SIDDHARTHNAGAR,-1.603,2026-09-05 00:00:00,5,True,-1.566,-3.033,-1.662,-0.25,-0.059,0.037,1.391,True,stable
"Primary School, Tilaura",SIDDHARTHNAGAR,-3.961,2026-09-05 00:00:00,5,True,-3.687,-5.391,-3.851,-1.065,0.11,0.274,2.163,True,stable
"Primary  School, Nawada Kalan",SANT RAVIDAS NAGAR,-8.05,2026-09-05 00:00:00,5,True,-7.693,-9.48,-7.946,-2.004,0.104,0.357,3.738,True,stable
"Composite School, Mungari",SANT RAVIDAS NAGAR,-10.22,2026-09-05 00:00:00,5,True,-9.9,-11.65,-10.11,-4.947,0.11,0.32,3.352,True,stable
Kushinagar Motichak Motichak,KUSHINAGAR,-0.994,2026-09-05 00:00:00,5,True,-0.957,-2.417,-1.072,-0.497,-0.078,0.037,0.96,True,stable
"Primary School, Belaukh",SIDDHARTHNAGAR,-2.159,2026-09-05 00:00:00,5,True,-2.122,-3.589,-2.061,-0.604,0.098,0.037,1.492,True,stable
"Madhyamik Vidhyalaya, Dulha Daul",MIRZAPUR,-6.027,2026-09-05 00:00:00,5,True,-5.67,-7.455,-5.912,-1.178,0.115,0.357,3.138,True,stable
"Primary / Composite School, Pepala",BAGHPAT,-8.937,2026-09-03 18:00:00,6,True,-8.676,-10.365,-8.901,-4.531,0.036,0.261,2.917,True,stable
"Upper Primary School, Khadui",SONBHADRA,-1.048,2026-09-05 00:00:00,5,True,-1.011,-2.478,-1.112,-0.075,-0.064,0.037,1.202,True,stable
Mathura Nandgaon Vathainkala,MATHURA,-0.638,2026-09-05 00:00:00,5,True,-0.62,-2.071,-0.711,-0.085,-0.073,0.018,0.993,True,stable
"Primary School, Baghpokhar",SONBHADRA,-6.851,2026-09-05 00:00:00,5,True,-6.494,-8.287,-6.736,-2.074,0.115,0.357,3.107,True,stable
Jauharpur,BANDA,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
"Primary School, Koilar",VARANASI,-19.367,2026-09-05 00:00:00,5,True,-19.01,-20.8,-19.263,-14.438,0.104,0.357,3.181,True,stable
B.D.O Office Bhatini,DEORIA,-3.992,2026-09-05 00:00:00,5,True,-3.718,-5.422,-3.898,-0.606,0.094,0.274,2.408,True,stable
"Panchayat Bhawan, Kul Doomri",SONBHADRA,-4.996,2026-09-05 00:00:00,5,True,-4.722,-6.426,-4.902,-0.563,0.094,0.274,2.931,True,stable
Shahjahanpur Bhawal Kheda Ladhauli,SHAHJAHANPUR,-8.16,2026-08-31 12:00:00,9,True,-7.899,-9.59,-8.136,-3.241,0.024,0.261,3.174,True,stable
"Composite School, Pathraha",MIRZAPUR,-9.276,2026-09-05 00:00:00,5,True,-8.919,-10.706,-9.161,-2.955,0.115,0.357,3.875,True,stable
"Primary School, Jogehthi",MEERUT,-10.523,2026-09-03 12:00:00,6,True,-10.277,-11.948,-10.475,-7.736,0.048,0.246,2.106,True,stable
Block Deoria Campus Deoria Sadar,DEORIA,-4.118,2026-09-05 00:00:00,5,True,-3.844,-5.557,-4.032,-1.691,0.086,0.274,1.933,True,stable
"Purv Madhyamik Vidhyalaya, Mahooli",SONBHADRA,-7.236,2026-09-05 00:00:00,5,True,-6.879,-8.666,-7.142,-1.195,0.094,0.357,3.735,True,stable
"Primary / Composite School, Mohaddinpur",BAGHPAT,-6.4,2026-09-04 00:00:00,6,True,-6.154,-7.825,-6.351,-3.953,0.049,0.246,1.936,True,stable
"Primary School, Kodai",VARANASI,-15.87,2026-09-05 00:00:00,5,True,-15.513,-17.323,-15.755,-9.876,0.115,0.357,3.723,True,stable
Mainpuri Karhal Mohabbatpur,MAINPURI,-2.397,2026-08-29 18:00:00,11,True,-2.252,-3.836,-2.376,-1.197,0.021,0.145,1.319,True,stable
Mainpuri Karhal Takhrau,MAINPURI,-1.158,2026-09-05 00:00:00,5,True,-1.121,-2.588,-1.228,-0.514,-0.07,0.037,1.037,True,stable
"Primary / Composite School, Banwaripur",BAGHPAT,-10.676,2026-08-23 18:00:00,17,True,-10.43,-12.099,-10.616,-8.116,0.06,0.246,1.991,True,stable
"Vikash Khand Parisar, Itwa",SIDDHARTHNAGAR,-1.432,2026-09-05 00:00:00,5,True,-1.395,-2.862,-1.476,-0.094,-0.044,0.037,1.384,True,stable
Meerut Sardhana Chhabariya,MEERUT,-11.291,2026-09-02 12:00:00,7,True,-11.045,-12.718,-11.244,-8.256,0.047,0.246,2.231,True,stable
"Primary School,  Todarpur",VARANASI,-10.907,2026-09-05 00:00:00,5,True,-10.55,-12.345,-10.808,-4.547,0.099,0.357,3.899,True,stable
Chirautha,BANDA,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Piparaond,CHITRAKOOT,35.93,2026-09-05 00:00:00,5,True,35.553,34.5,35.842,36.93,-0.088,-0.377,1.215,True,stable
Perthivipur Nayakh,JHANSI,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Aligarh Lodha Aisi Kol,ALIGARH,-23.785,2026-09-03 00:00:00,7,True,-23.539,-25.212,-23.742,-21.178,0.043,0.246,2.017,True,stable
Aligarh Lodha Mahrawalpur Nagariya,ALIGARH,-22.671,2026-09-04 00:00:00,6,True,-22.425,-24.092,-22.619,-20.795,0.052,0.246,1.648,True,stable
"Primary School, Johadi",BAGHPAT,-29.054,2026-09-04 00:00:00,6,True,-28.808,-30.487,-29.011,-26.524,0.043,0.246,1.982,True,stable
Aligarh Jawa Sogera,ALIGARH,-4.245,2026-09-04 00:00:00,6,True,-4.03,-5.673,-4.222,-2.05,0.023,0.215,1.811,True,stable
Gorakhpur Pali Dumari Niwas,GORAKHPUR,-3.566,2026-09-05 00:00:00,5,True,-3.292,-4.999,-3.472,-0.953,0.094,0.274,2.023,True,stable
Maharajganj Nichlaul Balaekhor,MAHARAJGANJ,-0.641,2026-08-31 18:00:00,9,True,-0.623,-2.067,-0.725,-0.566,-0.084,0.018,0.751,True,stable
Jaunpur Jalalpur Vind,JAUNPUR,-3.562,2026-09-04 00:00:00,6,True,-3.217,-5.001,-3.451,0.347,0.111,0.345,2.674,True,stable
Aligarh Khair Arrana,ALIGARH,-5.199,2026-09-05 00:00:00,5,True,-4.984,-6.629,-5.173,-1.312,0.026,0.215,2.658,True,stable
Mathura Naujheel Badharra,MATHURA,-8.982,2026-09-04 00:00:00,6,True,-8.721,-10.41,-8.954,-3.646,0.028,0.261,3.382,True,stable
Badaun Ujhani Sports Stadium,BUDAUN,-15.272,2026-09-04 00:00:00,6,True,-15.026,-16.695,-15.208,-13.161,0.064,0.246,1.767,True,stable
Shahjahanpur Bhawal Kheda Chak Bhitara,SHAHJAHANPUR,-0.557,2026-09-05 00:00:00,5,True,-0.539,-1.996,-0.631,0.159,-0.074,0.018,1.077,True,stable
Jaunpur Kerakat Mahali,JAUNPUR,-10.934,2026-09-04 00:00:00,6,True,-10.577,-12.357,-10.873,-8.798,0.061,0.357,1.78,True,stable
Mainpuri Karhal Naglamdari,MAINPURI,-0.123,2026-09-04 00:00:00,6,True,-0.105,-1.548,-0.196,0.069,-0.073,0.018,0.808,True,stable
Varansi Chirai Gaon Chhahi,VARANASI,-18.962,2026-08-21 18:00:00,19,True,-18.605,-20.415,-18.835,-13.34,0.127,0.357,3.537,True,stable
"Primary School/ Composite, Dadheru Kaian",MUZAFFARNAGAR,-10.829,2026-09-04 00:00:00,6,True,-10.568,-12.262,-10.805,-6.619,0.024,0.261,2.821,True,stable
Hamirpur Kurara Damar,HAMIRPUR,-2.327,2026-08-31 00:00:00,10,True,-2.104,-3.773,-2.207,-0.081,0.12,0.223,1.846,True,stable
Maharajganj Mithaura Madanpura,MAHARAJGANJ,-2.114,2026-09-05 00:00:00,5,True,-2.077,-3.544,-2.054,-0.787,0.06,0.037,1.378,True,stable
Gorakhpur Urwa Malhanpar,GORAKHPUR,-1.353,2026-09-05 00:00:00,5,True,-1.316,-2.792,-1.428,-0.36,-0.075,0.037,1.216,True,stable
Gorakhpur Gola Turkwaliya,GORAKHPUR,-2.324,2026-09-05 00:00:00,5,True,-2.172,-3.752,-2.222,-0.315,0.102,0.152,1.718,True,stable
"Primary School, Bhadauda",MEERUT,-9.307,2026-08-27 18:00:00,13,True,-9.046,-10.74,-9.281,-4.548,0.026,0.261,3.096,True,stable
Gorakhpur Chargaon Beniganj,GORAKHPUR,-0.593,2026-09-04 00:00:00,6,True,-0.575,-2.018,-0.674,-0.373,-0.081,0.018,0.823,True,stable
Azamgarh Pavai Velasiya,AZAMGARH,-0.403,2026-09-04 00:00:00,6,True,-0.385,-1.833,-0.471,0.459,-0.068,0.018,1.146,True,stable
Jaunpur Kerakat Nihalapur,JAUNPUR,-4.304,2026-09-02 06:00:00,7,True,-3.959,-5.743,-4.199,0.342,0.105,0.345,3.042,True,stable
Gorakhpur Gola Gopalpur Patham,GORAKHPUR,-0.383,2026-09-04 00:00:00,6,True,-0.365,-1.816,-0.464,0.463,-0.081,0.018,1.14,True,stable
"Primary School, Safpuram Chandpur",MEERUT,-12.643,2026-08-27 12:00:00,13,True,-12.397,-14.076,-12.596,-10.306,0.047,0.246,1.885,True,stable
Mahoba Charkhari Padha,MAHOBA,-3.449,2026-09-02 06:00:00,7,True,-3.104,-4.895,-3.344,1.319,0.105,0.345,3.107,True,stable
Azamgarh Palhana Jamui Bhatauli,AZAMGARH,-1.767,2026-09-01 00:00:00,9,True,-1.73,-3.192,-1.837,-0.801,-0.07,0.037,1.195,True,stable
"Primary School, Bodha",BAGHPAT,-13.432,2026-08-29 00:00:00,12,True,-13.171,-14.865,-13.396,-9.166,0.036,0.261,2.85,True,stable
Shahjahanpur Bhawal Kheda Bhawal Kheda,SHAHJAHANPUR,-3.57,2026-09-04 00:00:00,6,True,-3.355,-5.0,-3.547,-1.496,0.023,0.215,1.752,True,stable
Gorakhpur Barahalganj Ojhauli,GORAKHPUR,-3.85,2026-09-05 00:00:00,5,True,-3.576,-5.286,-3.765,-0.844,0.085,0.274,2.221,True,stable
Shahjahanpur Dadraul Banthara,SHAHJAHANPUR,-3.21,2026-09-04 00:00:00,6,True,-2.995,-4.643,-3.188,-0.784,0.022,0.215,1.929,True,stable
Etah Jalesar Sakrauli,ETAH,-11.877,2026-09-04 00:00:00,6,True,-11.631,-13.302,-11.826,-8.96,0.051,0.246,2.171,True,stable
Kushinagar Tamkuhi Rajwatiya,KUSHINAGAR,-0.666,2026-09-04 18:00:00,5,True,-0.648,-2.089,-0.747,0.328,-0.081,0.018,1.208,True,stable
Sitapur Mafi,CHITRAKOOT,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Shahjahanpur Puvayan  Badagaon Pratham,SHAHJAHANPUR,-8.026,2026-09-04 00:00:00,6,True,-7.765,-9.459,-7.986,-3.341,0.04,0.261,3.059,True,stable
"Primary School, Silana",BAGHPAT,-22.167,2026-09-05 00:00:00,5,True,-21.906,-23.612,-22.139,-17.857,0.028,0.261,2.878,True,stable
Kushinagar Captanganj Captanganj,KUSHINAGAR,-4.4,2026-09-04 00:00:00,6,True,-4.126,-5.823,-4.336,-2.978,0.064,0.274,1.422,True,stable
Saint Ravidas Nagar Aurai Ugapur,SANT RAVIDAS NAGAR,-8.845,2026-09-05 00:00:00,5,True,-8.454,-10.311,-8.73,-3.671,0.115,0.391,3.32,True,stable
Badaun Salarpur BDO Office,BUDAUN,-20.856,2026-09-04 00:00:00,6,True,-20.61,-22.281,-20.805,-18.933,0.051,0.246,1.674,True,stable
Hathras Mursan Chandapa Sandh,HATHRAS,-30.718,2026-09-05 00:00:00,5,True,-30.535,-32.142,-30.659,-28.85,0.059,0.183,1.646,True,stable
Azamgarh Sathiyavn Gajahada,AZAMGARH,0.457,2026-09-04 00:00:00,6,True,-1.418,-0.966,0.376,1.254,-0.081,-1.875,1.11,True,stable
Hamirpur Sarila Purani,HAMIRPUR,-14.48,2026-09-04 12:00:00,5,True,-14.052,-15.946,-14.367,-5.592,0.113,0.428,5.177,True,stable
