model,horizon,rows,feat_days,rmse,mae,r2,resid_std,within_025,within_05,within_10,p5,p50,p95
xgboost,30,378554,247739,2.241836045248739,0.7035130880545668,0.900837857388184,2.241384569622262,0.4252471245846035,0.6719120653856517,0.8511123908345969,-1.5988010381698616,-0.051203413009643484,1.1696031343460083
ridge,30,378554,247739,2.4558685545203174,1.260044839536259,0.8809995939131908,2.4338755481350662,0.173314771472498,0.33295910226810443,0.5794391288957453,-3.0666709638044307,-0.29366412812839204,2.0943220115909402
persistence,30,378554,247739,2.2896332532102788,0.7439713323974613,0.8965643960722546,2.2888105410213884,0.42275078324360593,0.6391003661300634,0.8319896236732408,-1.7659998861312867,0.11899992370605439,1.3090000976562497
climatology,30,378554,247739,3.5716282191413176,1.6567102435552625,0.7483072545775193,3.550689079193997,0.18270312821948784,0.327115814388436,0.5460357042852539,-4.184362500000001,-0.39837500000000015,2.4564791666666568
xgboost (delta),30,378554,247739,2.2418360428862605,0.7035130882256824,0.04062586559558756,2.24138456726462,0.4252471245846035,0.6719120653856517,0.8511123908345969,-1.5988004967689513,-0.05120350074768121,1.1696031458854677
ridge (delta),30,378554,247739,2.4558685519971593,1.2600448394733186,-0.1513054133597722,2.433875545624433,0.173314771472498,0.33295910226810443,0.5794391288957453,-3.066671402494616,-0.293664167229039,2.094321792245848
persistence (delta),30,378554,247739,2.2896332512402604,0.7439713330198598,-0.0007190285472788993,2.288810539043632,0.4237361116247616,0.6393328296623467,0.8320952889151878,-1.7659999999999987,0.11899999999999977,1.3090000000000004
climatology (delta),30,378554,247739,3.571628218544463,1.6567102433913283,-1.4350775794452262,3.550689078622138,0.18263972907431963,0.3270841148158519,0.5460145712368645,-4.1843626724243155,-0.39837519836425783,2.456478833262115
