lag,pearson_med
0,0.09900934023876931
1,0.11418947697012184
2,0.11466488490282205
3,0.12084423936524542
4,0.1177265803944663
5,0.12006693669537578
6,0.13018605268723166
7,0.12705882182585992
8,0.12746873992184046
9,0.1255186579510177
10,0.12113087058773833
11,0.1187684203872516
12,0.11901641388834548
13,0.11523363356661452
14,0.11847186202950724
15,0.11918866476749665
16,0.1274083111028888
17,0.12697825661322348
18,0.1253873581834735
19,0.13283604091082013
20,0.12988665771609129
21,0.13827181380018344
22,0.13621205296286906
23,0.13105599538288287
24,0.13029605702429528
25,0.1299627810202563
26,0.1310488325713246
27,0.12652868884522486
28,0.12391113810354254
29,0.1261057428902694
30,0.12372014120966826
