gwl_station,src_station,dist_km
"Purv Madhyamik Vidhyalaya, Doriya",Moosakhand  AWS,28.742489297759757
"Purv Madhyamik Vidhyalaya, Fattupur",Jirgo AWS,56.119124771395335
"Purv Madhyamik Vidhyalaya, Mahooli",OBRA AWS,40.762310479839876
"Purv Madhyamik Vidyalaya, Mujehra",Jirgo AWS,44.344881723170076
"Purv Madhyamik Vidyalaya, Ranibari",Jirgo AWS,42.608277385629485
"Purv Madhyamik Vidyalaya,Bharpura",Jirgo AWS,23.98282979996682
"Purva Madhyamik Vidhyalaya, Chackwara",Jirgo AWS,99.58941009902108
"Purva Madhyamik Vidhyalaya, Chandapur",Jirgo AWS,40.28050371923421
RASULPUR BARGAON RAJKIYA UCHTTAR PRATHAMIK VIDYALAYA,ADWA AWS,113.50128244610204
Rajapur Sikraur,Jirgo AWS,105.52086632478414
"Roadways Bus Stand, Robertsganj",OBRA AWS,29.335936971294434
Saint Ravidas Nagar Abholi Abholi,Jirgo AWS,72.21210407312435
Saint Ravidas Nagar Abholi Gangarampur,Jirgo AWS,73.352556940047
Saint Ravidas Nagar Aurai Ugapur,Jirgo AWS,63.73230988040505
Saint Ravidas Nagar Aurai Uprauth,Jirgo AWS,44.835867895043584
Saint Ravidas Nagar Bhadohi Munshi,Jirgo AWS,54.264289739298476
Saint Ravidas Nagar Deegh  Deegh,ADWA AWS,58.7486780686804
Saint Ravidas Nagar Deegh Velahua,ADWA AWS,64.3182641114072
Saint Ravidas Nagar Gyanpur Kansapur,Jirgo AWS,55.51887282786906
Saint Ravidas Nagar Gyanpur Samhai,Jirgo AWS,54.87383612982577
Saint Ravidas Nagar Suriyawan Chhapariya,Jirgo AWS,67.51477248430533
Saint Ravidas Nagar Suriyawan Mond,Jirgo AWS,61.921297738096854
Semara_1,ADWA AWS,96.64634070145854
Shitalpur_1,ADWA AWS,139.6393237866173
Singhara Pr. Vid.,Jirgo AWS,96.84361334807454
Sonbhadra Babhani Bhawar,Jirgo AWS,44.50567068664136
Sonbhadra Chopan Khairatiya,OBRA AWS,5.852816041605106
Sonbhadra Duddhi Mahuli,OBRA AWS,41.09075674295032
Sonbhadra Myorpur Agartola,OBRA AWS,40.07427404149686
Srikantpur Pr. Vid.,Jirgo AWS,79.4219005935661
"Thana Prisar, Lalganj",ADWA AWS,27.921574537471084
"Uccha Prathmik Vidhyalaya, Lohra (Pampawan)",Jirgo AWS,21.332517056360107
"Uccha Prathmik Vidhyalaya, Sonpur",Jirgo AWS,5.572462830685782
"Uchha Prathmik Vidhyala, Tadi Mustkil",ADWA AWS,114.07767476499481
"Upper Primary School, Khadui",Moosakhand  AWS,33.62723122468347
Varansi Badagaon Gajapur,Jirgo AWS,42.36093300229021
Varansi Chirai Gaon  Gathiya Jairampur,Jirgo AWS,46.885648336297855
Varansi Chirai Gaon Chhahi,Jirgo AWS,40.97715128918691
Varansi Cholapur Chaubepur,Jirgo AWS,46.879540019758636
Varansi Cholapur Munari,Jirgo AWS,45.67231976453305
Varansi Harahua Bhaithauli,Jirgo AWS,45.656020063006345
Varansi Harahua Gurwat,Jirgo AWS,45.43812965666142
Varansi Harahua Kakalpur,Jirgo AWS,31.361550596681266
Varansi Harahua Shivrampur,Jirgo AWS,43.916347847412254
Varansi Harahua Sulemapur,Jirgo AWS,44.937391164422394
Varansi Pindara Gajendra,Jirgo AWS,47.71810866461677
Varansi Pindara Molanapur,Jirgo AWS,50.68128278108407
