Station,District,Tehsil,Block,Latitude,Longitude,n_2026_months,n_2026_records,first_2026,last_record,full26
Goshala Bada Gaon,BANDA,-,-,25.507743,80.645981,9,896,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Goshala Bankat,BANDA,-,-,25.557483,80.948938,9,888,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Goshala Basela,HAMIRPUR,-,-,25.533503,79.50998,9,892,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Goshala Bhadehdu,BANDA,-,-,25.462597,80.706021,9,900,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Goshala Churaha,HAMIRPUR,-,-,25.731688,79.494467,9,752,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Goshala Ghuri,BANDA,-,-,25.427643,80.564512,9,900,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Goshala Mawal Kalan,CHITRAKOOT,-,-,25.30198,81.38856,7,789,2026-01-01 00:00:00,2026-07-22 06:00:00,False
Goshala Pachhahan,BANDA,-,-,25.532277,80.927357,9,888,2026-01-02 00:00:00,2026-09-05 18:00:00,True
Goshala Pawai,BANDA,-,-,25.424078,80.556866,0,0,,2025-06-30 18:00:00,False
Goshala Tiluli,CHITRAKOOT,-,-,25.240443,81.43013,7,792,2026-01-01 00:00:00,2026-07-23 12:00:00,False
Government Polytechnic Fatehpur Narayanpur-Telyani-Medium,FATEHPUR,-,-,25.96666667,80.78666667,5,553,2026-01-01 00:00:00,2026-05-30 00:00:00,False
Government Polytechnic Fatehpur Narayanpur-Telyani-Shallow,FATEHPUR,-,-,25.96666667,80.78666667,4,450,2026-01-01 00:00:00,2026-04-27 00:00:00,False
Goyla,MUZAFFARNAGAR,MUZAFFARNAGAR,-,29.305,77.5925,9,831,2026-01-01 00:00:00,2026-09-05 12:00:00,True
"Gram Panchayat Office, Matanat Nagar",BAGHPAT,-,-,28.99831,77.425428,7,784,2026-01-01 00:00:00,2026-07-23 18:00:00,False
"Gram Panchayat Office, Rajapur",JHANSI,-,-,25.390369,78.35514,3,261,2026-02-01 00:00:00,2026-04-19 00:00:00,False
"Gram Panchayat Sachivalaya, Bhandara",MAHOBA,-,-,25.16067,79.834401,7,785,2026-01-01 01:44:00,2026-07-23 13:44:00,False
"Gram Panchayat Sachiwalaya / D.B.R. Ambedkar Samudayak Bhawan, Durkhuroo",JHANSI,-,-,25.604794,79.305284,9,884,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Gram Panchayat goshala, Sahoorpur",BANDA,-,-,25.726134,80.484619,7,793,2026-01-01 00:00:00,2026-07-23 12:00:00,False
Grampunchayat Sachiwalaya Deori,SONBHADRA,-,-,24.671632,83.147754,9,892,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Gundaha,HAMIRPUR,-,-,25.6046,80.162658,8,618,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Gundela_1,HAMIRPUR,-,-,25.616906,79.750963,3,261,2026-02-01 00:00:00,2026-04-19 00:00:00,False
Gurukul Inter College-Meerut-Shallow,MEERUT,-,-,28.981186,77.714493,5,553,2026-01-01 00:00:00,2026-05-30 00:00:00,False
Gwabali/Chaupura,JHANSI,-,-,25.17054,78.43797,7,556,2026-02-01 00:00:00,2026-09-05 18:00:00,False
Gyana Majra Pr. Vid.,MUZAFFARNAGAR,CHARTHAWAL,CHARTHAWAL,29.58694444,77.49777778,9,823,2026-01-01 00:00:00,2026-09-05 12:00:00,True
Gyanpur (UP-152),SANT RAVIDAS NAGAR,St Ravidas Nagar,-,25.375536,82.456182,5,509,2026-01-01 00:00:00,2026-05-30 00:00:00,False
HARNHAPUR PRATHAMIK VIDYALAYA,PRATAPGARH,-,-,25.829221,81.995258,9,790,2026-01-01 00:00:00,2026-09-05 18:00:00,True
HOLAGARH PURV MADHYAMIK VIDYALAYA,PRATAPGARH,-,-,25.641014,81.774224,9,802,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Halwana,SAHARANPUR,Saharanpur,-,30.054007,77.717608,9,823,2026-01-01 00:00:00,2026-09-05 12:00:00,True
Hamirpur Kurara Damar,HAMIRPUR,-,-,25.983688,79.960714,9,836,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Hamirpur Kurara Jalokhar,HAMIRPUR,-,-,25.965865,80.021851,9,794,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Hamirpur Sarila Purani,HAMIRPUR,-,-,25.755058,79.771884,9,907,2026-01-01 02:50:00,2026-09-05 18:00:00,True
Hamirpur Sumerpur Etara,HAMIRPUR,-,-,25.778761,80.1550852,9,844,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Hamirpur Sumerpur Para,HAMIRPUR,-,-,25.807394,80.194179,9,844,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Hanna vinayak,CHITRAKOOT,-,-,25.301016,81.292986,6,475,2026-02-01 00:00:00,2026-09-05 18:00:00,False
Hasipur (UP-144),MIRZAPUR,Mirzapur,-,25.137507,82.858271,5,559,2026-01-01 00:00:00,2026-05-30 12:00:00,False
Haswa (UP-022),FATEHPUR,Fatehpur,-,25.53925,81.228361,5,523,2026-01-01 00:00:00,2026-05-30 06:00:00,False
Hathgaon (UP-026),FATEHPUR,Fatehpur,-,25.864921,81.127138,5,561,2026-01-01 06:00:00,2026-05-30 06:00:00,False
Hathras Hathras Hathras,HATHRAS,-,-,27.627038,78.136311,9,946,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Hathras Mursan Chandapa Sandh,HATHRAS,-,-,27.520875,78.04112,9,906,2026-01-02 18:00:00,2026-09-05 00:00:00,True
"Health Center, Akbarpur Girwan",BANDA,-,-,25.290693,80.35944,7,781,2026-01-01 00:00:00,2026-07-22 18:00:00,False
"Health Center, Kalauli Jar",HAMIRPUR,-,-,25.860934,80.055763,7,775,2026-01-01 02:25:00,2026-07-23 02:25:00,False
High School & Inter College Boroda,MUZAFFARNAGAR,-,-,29.248289,77.433039,8,679,2026-01-01 00:00:00,2026-09-05 18:00:00,True
High School_2,BAGHPAT,-,-,28.998314,77.425395,7,786,2026-01-01 00:00:00,2026-07-23 12:00:00,False
