gwl_station,src_station,dist_km
"Primary School Sahjanwa , Pratham Pipra",UPSW_SemraGhat,
"Primary School Sahjanwa , Pratham Pipra",UPSW_Unawal,
Primary School kakrehwa,UPSW_Bansi,
Primary School kakrehwa,UPSW_Kakrahi,
Primary School kakrehwa,UPSW_Ram Nagara,
"Primary School, Belaukh",UPSW_Bansi,
"Primary School, Belaukh",UPSW_Kakrahi,
"Primary School, Belaukh",UPSW_Ram Nagara,
"Primary School, Brahmpur",UPSW_Badahara,
"Primary School, Brahmpur",UPSW_SemraGhat,
"Primary School, Brahmpur",UPSW_Unawal,
"Primary School, Dhankharpur",UPSW_Bansi,
"Primary School, Dhankharpur",UPSW_Kakrahi,
"Primary School, Dhankharpur",UPSW_Ram Nagara,
"Primary School, Kalani Khurad",UPSW_Badahara,
"Primary School, Kalani Khurad",UPSW_SemraGhat,
"Primary School, Kalani Khurad",UPSW_Unawal,
"Primary School, Mithabel",UPSW_Badahara,
"Primary School, Mithabel",UPSW_SemraGhat,
"Primary School, Mithabel",UPSW_Unawal,
"Primary School, Tilaura",UPSW_Bansi,
"Primary School, Tilaura",UPSW_Kakrahi,
"Primary School, Tilaura",UPSW_Ram Nagara,
Pv. Compiergang,UPSW_Badahara,
Pv. Compiergang,UPSW_SemraGhat,
Pv. Compiergang,UPSW_Unawal,
SARAHARI PRATHMIK VIDYALAYA,UPSW_Badahara,
SARAHARI PRATHMIK VIDYALAYA,UPSW_SemraGhat,
SARAHARI PRATHMIK VIDYALAYA,UPSW_Unawal,
SWASTH KENDR PIPIGANJ,UPSW_Badahara,
SWASTH KENDR PIPIGANJ,UPSW_SemraGhat,
SWASTH KENDR PIPIGANJ,UPSW_Unawal,
Saital,UPSW_Badahara,
Saital,UPSW_SemraGhat,
Saital,UPSW_Unawal,
Sujanpura Badhyapar,UPSW_Badahara,
Sujanpura Badhyapar,UPSW_SemraGhat,
Sujanpura Badhyapar,UPSW_Unawal,
"Vikash Khand Parisar, Itwa",UPSW_Bansi,
"Vikash Khand Parisar, Itwa",UPSW_Kakrahi,
"Vikash Khand Parisar, Itwa",UPSW_Ram Nagara,
