gwl_station,src_station,dist_km
Saint Ravidas Nagar Gyanpur Kansapur,Lower Khajuri LB Canal,31.440750976399276
Saint Ravidas Nagar Gyanpur Samhai,Lower Khajuri LB Canal,32.13268862315478
Saint Ravidas Nagar Suriyawan Chhapariya,Lower Khajuri LB Canal,45.0898463397211
Saint Ravidas Nagar Suriyawan Mond,Lower Khajuri LB Canal,40.62079605517256
Semara_1,Sukhra Canal Inlet,90.21662222281091
Singhara Pr. Vid.,Jirgo Dam Gate -1,96.84361334807454
Sonbhadra Babhani Bhawar,Lower Khajuri LB Canal,12.283520298017692
Sonbhadra Chopan Khairatiya,Dhandhraul Canal,23.191251237112116
Sonbhadra Duddhi Mahuli,Dhandhraul Canal,44.99276667553199
Sonbhadra Myorpur Agartola,Dhandhraul Canal,58.427897628548294
Srikantpur Pr. Vid.,Jirgo Dam Gate -1,79.4219005935661
"Thana Prisar, Lalganj",SIRSI RB Canal,22.155841852619112
"Uccha Prathmik Vidhyalaya, Lohra (Pampawan)",Ahraura Canal,13.223191464706627
"Uccha Prathmik Vidhyalaya, Sonpur",Jirgo Canal 2700,3.203905200562393
"Upper Primary School, Khadui",Dhandhraul Canal,11.702932982774856
Varansi Badagaon Gajapur,Lower Khajuri RB Canal,37.87489747624747
Varansi Chirai Gaon  Gathiya Jairampur,Garai RB Canal,45.29903460067961
Varansi Chirai Gaon Chhahi,Jirgo Canal 1800,40.7942853633539
Varansi Cholapur Chaubepur,Garai RB Canal,45.29567168628222
Varansi Cholapur Munari,Jirgo Canal 1800,45.49154746502996
Varansi Harahua Bhaithauli,Jirgo Dam Gate -1,45.656020063006345
Varansi Harahua Gurwat,Jirgo Dam Gate -1,45.43812965666142
Varansi Harahua Kakalpur,Jirgo Dam Gate -1,31.361550596681266
Varansi Harahua Shivrampur,Garai RB Canal,42.950794461175306
Varansi Harahua Sulemapur,Jirgo Canal 1800,44.90860193549305
Varansi Pindara Gajendra,Jirgo Dam Gate -1,47.71810866461677
Varansi Pindara Molanapur,Garai RB Canal,48.36218305517738
