gwl_station,src_station,dist_km
BADHANI PRATHMIK VIDYALAYA,Mahrajganj_1,45.70953131959442
BADHANI PRATHMIK VIDYALAYA,Atraulia,46.97746132236215
BADHANI PRATHMIK VIDYALAYA,Bhaluani,59.83078987178163
BANI KHAS C.V. VIDYALAYA,Gunta Dam,27.826237188672167
BANI KHAS C.V. VIDYALAYA,Rangwa Dam (ARG+AWLR),73.41782072399275
BANI KHAS C.V. VIDYALAYA,Rasin Dam,73.42059733421365
BANSGAON PRATHMIK VIDYALAYA,Mahrajganj_1,40.102930903069684
BANSGAON PRATHMIK VIDYALAYA,Bhaluani,46.25164282376765
BANSGAON PRATHMIK VIDYALAYA,Atraulia,47.80647327034675
Babina Rular,Dongri_1,20.812967796909735
Babina Rular,Dhukawan ARG + D/S,21.03189119162175
Babina Rular,Khaprar Canal,21.36041706838294
Badhai Khurd Pr. Vid.,Lalukhedi ARG,21.465417177650707
Badhai Khurd Pr. Vid.,Saharanpur ARG,45.08684279568847
Badhai Khurd Pr. Vid.,RAMALA ARG,50.506548818430794
Badhouli,Lakheri Dam ARG+AWLR,63.55969387594292
Badhouli,Lahchura ARG + D/S,64.18162243845077
Badhouli,Pathari Dam,71.98396547107384
Baghora_1,Pahari Dam,14.96152766123026
Baghora_1,Sizar Dam,19.944838956278986
Baghora_1,Lahchura ARG + D/S,23.16279708152914
Baghpat Meerut Kheda Balrampur Itiyara,Sarauli ARG,33.192219122217985
Baghpat Meerut Kheda Balrampur Itiyara,Daulla ARG,37.28887730783356
Baghpat Meerut Kheda Balrampur Itiyara,Barut ARG,47.7148491182359
Banda Baberu Anvan,Rasin Dam,44.68433594483989
Banda Baberu Anvan,Rangwa Dam (ARG+AWLR),44.68974028269501
Banda Baberu Anvan,Gunta Dam,57.38563900244154
Banda Baberu Umrehani,Rasin Dam,41.13990914034603
Banda Baberu Umrehani,Rangwa Dam (ARG+AWLR),41.1447629615782
Banda Baberu Umrehani,Gunta Dam,52.01522499213575
Banda Badokhar Khurd Chatgan,Rasin Dam,57.86441772286436
Banda Badokhar Khurd Chatgan,Rangwa Dam (ARG+AWLR),57.87212370935632
Banda Badokhar Khurd Chatgan,Gunta Dam,92.88934289640636
Banda Bisndha Mrooli,Rasin Dam,28.051820911286857
Banda Bisndha Mrooli,Rangwa Dam (ARG+AWLR),28.05682557939309
