Station,District,Tehsil,Block,Latitude,Longitude,n_2026_months,n_2026_records,first_2026,last_record,full26
"Prathmik Vidhyalaya, Doula",BAGHPAT,-,-,28.95697,77.336225,9,881,2026-01-01 02:17:00,2026-09-01 14:17:00,True
"Prathmik Vidhyalaya, Gwalikhera",BAGHPAT,-,-,29.015218,77.340526,9,800,2026-01-01 02:01:00,2026-09-04 14:01:00,True
"Prathmik Vidhyalaya, Katiliaha",FATEHPUR,-,-,25.947553,80.538464,9,904,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Prathmik Vidhyalaya, Khampur",BAGHPAT,-,-,29.060907,77.189343,9,801,2026-01-01 00:00:00,2026-09-04 12:00:00,True
"Prathmik Vidhyalaya, Khera Islampur",BAGHPAT,-,-,29.04786,77.24112,9,799,2026-01-01 11:20:00,2026-09-04 11:20:00,True
"Prathmik Vidhyalaya, Makarndpur",FATEHPUR,-,-,25.971392,80.327558,9,900,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Prathmik Vidhyalaya, Medpur",MEERUT,-,-,28.969047,77.80315,9,878,2026-01-01 03:50:00,2026-09-04 09:50:00,True
"Prathmik Vidhyalaya, Nehlawa",SIDDHARTHNAGAR,-,-,27.220485,82.895274,9,884,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Prathmik Vidhyalaya, Phaprana",GHAZIABAD,-,-,28.833155,77.553142,9,904,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Prathmik Vidhyalaya, Ramnagar",BAGHPAT,-,-,29.021858,77.382751,9,804,2026-01-01 00:00:00,2026-09-04 12:00:00,True
"Prathmik Vidhyalaya, Shahjahanpur_1",GHAZIABAD,-,-,28.839868,77.620735,9,888,2026-01-02 00:00:00,2026-09-05 18:00:00,True
"Prathmik Vidhyalaya, Sikhera_1",BAGHPAT,-,-,28.918155,77.368565,9,886,2026-01-01 00:00:00,2026-09-05 00:00:00,True
"Prathmik Vidhyalaya, Taizullahpur",BAGHPAT,-,-,29.02142,77.204972,8,782,2026-01-01 00:00:00,2026-09-04 12:00:00,True
"Prathmik Vidhyalaya, Thavai",FATEHPUR,-,-,25.858831,80.592363,9,758,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Prathmik Vidhyalaya, vilodhpura",BAGHPAT,-,-,29.005606,77.335548,9,794,2026-01-01 00:00:00,2026-09-04 12:00:00,True
"Pratmik Vidhyalaya, Kakaruwa",LALITPUR,-,-,24.469372,78.630085,9,916,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Priamry School Mukasim,SONBHADRA,-,-,24.770778,82.926456,9,916,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary  School, Nawada Kalan",SANT RAVIDAS NAGAR,-,-,25.4286191,82.5155066,9,797,2026-01-01 00:00:00,2026-09-05 12:00:00,True
"Primary / Composite School, Banwaripur",BAGHPAT,-,-,29.055191,77.522527,8,908,2026-01-01 00:00:00,2026-08-27 13:31:00,True
"Primary / Composite School, Chiraudi",MEERUT,-,-,29.150527,77.679529,9,710,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary / Composite School, Jainpur",BAGHPAT,-,-,29.130855,77.514345,9,820,2026-01-01 06:00:00,2026-09-01 00:00:00,True
"Primary / Composite School, Jasad",BAGHPAT,-,-,29.143684,77.520926,9,657,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary / Composite School, Mahalaka",MEERUT,-,-,29.151556,77.777042,9,775,2026-01-01 00:00:00,2026-09-04 00:00:00,True
"Primary / Composite School, Mohaddinpur",BAGHPAT,-,-,28.888823,77.618969,9,863,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary / Composite School, Pepala",BAGHPAT,-,-,28.991386,77.614937,9,867,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary / Composite School, Saradhana Block Office",BAGHPAT,-,-,29.143504,77.608033,9,855,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School  Bihasara,MIRZAPUR,-,-,25.14932,82.344415,9,797,2026-01-01 00:00:00,2026-09-05 12:00:00,True
Primary School  Biraura,MIRZAPUR,-,-,25.215747,82.449342,9,805,2026-01-01 00:00:00,2026-09-05 12:00:00,True
Primary School  Maharaji,GORAKHPUR,-,-,26.769306,83.467169,9,842,2026-01-01 00:00:00,2026-09-05 12:00:00,True
Primary School Ashadh,VARANASI,-,-,25.257645,82.783523,9,916,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Babura,MIRZAPUR,-,-,25.2154433,82.4476865,9,809,2026-01-01 00:00:00,2026-09-05 12:00:00,True
Primary School Baijnathpur,GORAKHPUR,-,-,26.849192,83.36995,9,872,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Bargdhi,GORAKHPUR,-,-,26.873247,83.465318,8,728,2026-01-02 00:00:00,2026-08-15 18:00:00,True
