district,year,class,area_sqkm,pct
AZAMGARH,2005-06,"Builtup,Mining",0.0,0.0
AZAMGARH,2005-06,"Agriculture,Crop land",3269.869996,77.22886150212564
AZAMGARH,2005-06,"Agriculture,Plantation",34.16583221,0.8069398254605573
AZAMGARH,2005-06,"Agriculture,Fallow",26.97865422,0.6371906995748701
AZAMGARH,2005-06,"Agriculture, Shifting Cultivation",0.0,0.0
AZAMGARH,2005-06,"Forest,Evergreen/Semi evergreen",0.0,0.0
AZAMGARH,2005-06,"Forest,Deciduous",0.0,0.0
AZAMGARH,2005-06,"Forest,Forest Plantation",0.0,0.0
AZAMGARH,2005-06,"Forest,Scrub Forest",0.0,0.0
AZAMGARH,2005-06,"Forest,Swamp/Mangroves",0.0,0.0
AZAMGARH,2005-06,Grass/Grazing,0.0,0.0
AZAMGARH,2005-06,"Barren/Wastelands, Salt Affected",156.6672576,3.7002186490316484
AZAMGARH,2005-06,"Barren/Wastelands, Gullied/Ravinus",20.9978773,0.4959347496457251
AZAMGARH,2005-06,"Barren/Wastelands, Scrub land",94.02410412,2.220692114312707
AZAMGARH,2005-06,"Barren/Wastelands, Sandy area",4.057359311,0.09582804230042513
AZAMGARH,2005-06,"Barren/Wastelands, Barren rocky",0.0,0.0
AZAMGARH,2005-06,"Barren/Wastelands, Rann",0.0,0.0
AZAMGARH,2005-06,"Wetlands/Water, Inland Wetland",127.5004091,3.0113464596126596
AZAMGARH,2005-06,"Wetlands/Water, Coastal Wetland",0.0,0.0
AZAMGARH,2005-06,"Wetlands/Water, River/Stream/Canal",139.5865779,3.2968015564478037
AZAMGARH,2005-06,"Wetlands/Water, Reservoir/Lake/Pond",36.82721303,0.869797190127539
AZAMGARH,2005-06,Snow and Glacier,0.0,0.0
BAGHPAT,2011-12,"Builtup,Urban",49.54,3.982315112540193
BAGHPAT,2011-12,"Builtup,Rural",36.44,2.9292604501607715
BAGHPAT,2011-12,"Builtup,Mining",14.18,1.139871382636656
BAGHPAT,2011-12,"Agriculture,Crop land",1076.18,86.5096463022508
BAGHPAT,2011-12,"Agriculture,Plantation",7.68,0.617363344051447
BAGHPAT,2011-12,"Agriculture,Fallow",38.31,3.079581993569132
BAGHPAT,2011-12,"Agriculture, Shifting Cultivation",0.0,0.0
BAGHPAT,2011-12,"Forest,Evergreen/Semi evergreen",0.0,0.0
BAGHPAT,2011-12,"Forest,Deciduous",5.8,0.4662379421221865
BAGHPAT,2011-12,"Forest,Forest Plantation",0.0,0.0
BAGHPAT,2011-12,"Forest,Scrub Forest",0.3,0.024115755627009645
BAGHPAT,2011-12,"Forest,Swamp/Mangroves",0.0,0.0
BAGHPAT,2011-12,Grass/Grazing,0.0,0.0
BAGHPAT,2011-12,"Barren/Wastelands, Salt Affected",0.0,0.0
BAGHPAT,2011-12,"Barren/Wastelands, Gullied/Ravinus",0.0,0.0
BAGHPAT,2011-12,"Barren/Wastelands, Scrub land",1.36,0.10932475884244373
BAGHPAT,2011-12,"Barren/Wastelands, Sandy area",0.0,0.0
BAGHPAT,2011-12,"Barren/Wastelands, Barren rocky",0.0,0.0
BAGHPAT,2011-12,"Barren/Wastelands, Rann",0.0,0.0
BAGHPAT,2011-12,"Wetlands/Water, Inland Wetland",0.0,0.0
BAGHPAT,2011-12,"Wetlands/Water, Coastal Wetland",0.0,0.0
BAGHPAT,2011-12,"Wetlands/Water, River/Stream/Canal",12.24,0.9839228295819936
BAGHPAT,2011-12,"Wetlands/Water, Reservoir/Lake/Pond",1.96,0.15755627009646303
BAGHPAT,2011-12,Snow and Glacier,0.0,0.0
