Station,District,lat,lon,sand_0_30,silt_0_30,clay_0_30,bdod_0_30,sand_60_100,silt_60_100,clay_60_100,bdod_60_100
"Primary School/ Composite, Rasulpur",MUZAFFARNAGAR,29.53586,77.635988,35.85,35.56666666666667,28.533333333333335,1.4033333333333333,34.2,34.6,31.2,1.4
"Primary School/ Composite, Sidki",SAHARANPUR,29.877706,77.63111,38.05,34.68333333333333,27.3,1.3683333333333332,37.8,34.5,27.7,1.36
"Primary School/ Composite, Nasrullahgarh",SAHARANPUR,29.935848,77.253626,34.86666666666667,35.71666666666667,29.416666666666668,1.4183333333333332,35.1,36.6,28.3,1.43
"Primary School/ Composite, Pawti",MUZAFFARNAGAR,29.592243,77.633976,37.03333333333333,34.416666666666664,28.516666666666666,1.39,34.7,34.5,30.8,1.42
"Primary School/ Composite, Tandheda",MUZAFFARNAGAR,29.372459,77.931921,34.516666666666666,37.05,28.45,1.37,32.5,36.4,31.1,1.36
Prmary School Rajpura,VARANASI,25.256981,82.774457,28.666666666666668,40.11666666666667,31.183333333333334,1.46,26.4,38.4,35.2,1.54
Punchayat Bhawan Bhaluwani,DEORIA,26.371332,83.761583,29.566666666666666,41.06666666666667,29.35,1.38,27.2,38.7,34.1,1.45
Punchayat Bhawan Vijaypur,MIRZAPUR,25.133254,82.39177,32.61666666666667,33.2,34.18333333333333,1.4849999999999999,31.5,33.6,35.0,1.55
"Purv Madh Vidhyalaya, Doomradeeh",SONBHADRA,24.1967011,83.2116726,18.833333333333332,41.71666666666667,39.483333333333334,1.6516666666666666,17.9,36.1,46.0,1.73
"Purv Madhyamik Vidhyalaya, Doriya",SONBHADRA,24.7278197,83.3711203,20.483333333333334,36.233333333333334,43.3,1.6283333333333334,20.3,35.3,44.4,1.68
"Purv Madh Vidhyalaya, Shivpur",SONBHADRA,24.7140575,83.2296165,21.833333333333332,35.95,42.21666666666667,1.6033333333333333,21.6,35.0,43.4,1.64
"Purv Madhyamik Vidhyalaya, Mahooli",SONBHADRA,24.2319299,83.2964576,21.0,38.833333333333336,40.166666666666664,1.6366666666666665,19.9,34.0,46.2,1.72
"Purv Madhyamik Vidyalaya, Mujehra",MIRZAPUR,25.2190414,82.5386282,28.6,36.4,35.0,1.5016666666666665,27.2,35.0,37.9,1.55
"Purv Madhyamik Vidyalaya, Ranibari",MIRZAPUR,25.1397805,82.5265216,28.3,36.38333333333333,35.3,1.5233333333333334,27.4,36.7,36.0,1.57
"Purv Madhyamik Vidyalaya,Bharpura",MIRZAPUR,25.081998,82.702502,28.783333333333335,36.85,34.4,1.5066666666666668,29.4,38.5,32.2,1.56
Purva Madhyamik Vidhyalaya Baroda Dang,LALITPUR,24.949716,78.538933,30.433333333333334,43.78333333333333,25.783333333333335,1.48,27.5,42.7,29.8,1.53
Purva Madhyamik Vidhyalaya Achausa,JHANSI,25.635476,79.043694,48.233333333333334,30.0,21.85,1.4383333333333332,46.6,27.8,25.6,1.5
Purva Madhyamik Vidhyalaya Bhitaura,JHANSI,25.336319,78.938194,41.46666666666667,33.333333333333336,25.2,1.4683333333333333,38.4,34.5,27.1,1.52
Purva Madhyamik Vidhyalaya Ladwari,LALITPUR,24.907563,78.610635,32.78333333333333,37.583333333333336,29.633333333333333,1.4633333333333334,29.8,37.4,32.8,1.54
Purva Madhyamik Vidhyalaya Sihari,JALAUN,26.249551,79.217094,37.31666666666667,38.766666666666666,23.916666666666668,1.3866666666666667,33.8,37.3,28.9,1.48
Purva Madhyamik Vidhyalaya Piphara,ETAH,27.494227,78.519052,47.7,29.116666666666667,23.166666666666668,1.4416666666666667,44.3,28.6,27.1,1.53
"Purva Madhyamik Vidhyalaya, Chackwara",AZAMGARH,25.923232,83.163587,25.166666666666668,46.05,28.783333333333335,1.4,22.6,42.9,34.5,1.43
"Purva Madhyamik Vidhyalaya, Chandapur",VARANASI,25.410499,82.987667,30.266666666666666,39.31666666666667,30.366666666666667,1.4466666666666665,27.7,38.1,34.2,1.52
Pv. Compiergang,GORAKHPUR,27.025,83.281944,29.95,44.333333333333336,25.75,1.3883333333333332,29.0,43.1,27.9,1.49
Purva Madhyamik Vidyalaya Chalakpur,SAHARANPUR,30.048452,77.454106,37.916666666666664,36.61666666666667,25.466666666666665,1.3366666666666667,36.7,36.3,27.0,1.27
R.R.C. Center Aata,JALAUN,26.046656,79.601251,36.516666666666666,36.85,26.633333333333333,1.3933333333333333,33.6,38.0,28.4,1.49
"Purv Madhyamik Vidhyalaya, Fattupur",SANT RAVIDAS NAGAR,25.4040161,82.5393989,31.366666666666667,40.06666666666667,28.583333333333332,1.5050000000000001,28.7,38.3,33.0,1.53
RASULPUR BARGAON RAJKIYA UCHTTAR PRATHAMIK VIDYALAYA,KAUSHAMBI,25.370944,81.419864,34.5,39.766666666666666,25.716666666666665,1.4733333333333334,31.4,37.1,31.5,1.52
Rajkia High School Pakhrauli,BANDA,25.566353,80.783332,32.766666666666666,42.28333333333333,24.966666666666665,1.4349999999999998,28.4,41.3,30.3,1.5
Rajapur Sikraur,AZAMGARH,26.0,82.939167,26.916666666666668,40.21666666666667,32.916666666666664,1.39,25.9,38.8,35.3,1.43
Ramchhitoni Sahawar (UP-011),KANSIRAM NAGAR,27.75305556,78.90722222,41.71666666666667,34.88333333333333,23.433333333333334,1.3916666666666666,38.2,33.7,28.1,1.51
Ranipur_2,CHITRAKOOT,25.19449505,80.82972965,38.06666666666667,36.36666666666667,25.616666666666667,1.465,37.0,36.6,26.4,1.55
Rajkia Balika Inter College Kamasin,BANDA,25.522948,80.911552,33.65,40.8,25.633333333333333,1.4366666666666668,31.5,39.4,29.1,1.48
"Rajkiya High School, Atali",MUZAFFARNAGAR,29.212539,77.516103,37.65,38.766666666666666,23.616666666666667,1.4283333333333335,35.0,37.9,27.1,1.48
