District,lulc_builtup_pct,lulc_cropland_pct,lulc_plantation_pct,lulc_fallow_pct,lulc_shifting_cult_pct,lulc_forest_pct,lulc_grass_pct,lulc_wasteland_pct,lulc_water_pct
AGRA,6.576607896697294,74.41420412217532,0.28085423392103304,2.6890985845542588,0.0,9.23938415694065,0.023839086168363548,5.19145766078967,1.5845542587534145
AZAMGARH,7.9898441190363725,80.52716107699575,0.7583845063769485,1.4024563060935287,0.0,0.8700991969768541,0.0,3.248700991969769,5.203117619272556
BAGHPAT,8.05144694533762,86.5096463022508,0.617363344051447,3.079581993569132,0.0,0.4903536977491961,0.0,0.10932475884244373,1.1414790996784565
BANDA,2.3537705618457596,78.99957274086734,1.5063020722067937,7.384533219397564,0.0,3.166417432172613,0.0,2.9570604571672723,3.6323435163426616
BAREILLY,7.108495145631068,88.25315533980583,0.4589805825242718,0.13179611650485437,0.0,0.0,0.0,1.0531553398058253,2.9946601941747573
BUDAUN,4.99593653250774,84.06791795665634,1.414860681114551,4.366486068111455,0.0,0.5071594427244582,0.5330882352941176,2.393188854489164,1.721362229102167
CHITRAKOOT,2.0574243968739383,60.181107713217806,0.3153244988107373,4.081549439347604,0.0,25.59904858987428,0.0,3.8841318382602785,3.8814135236153584
DEORIA,9.725330225330225,83.63480963480964,0.7513597513597513,0.34304584304584307,0.0,0.45027195027195027,0.0,0.9358974358974359,4.1588966588966585
ETAH,4.903422982885085,88.2281988590057,0.56519967400163,0.5729421352893236,0.0,0.12795436022819887,0.0,4.23960880195599,1.3622656886715567
FATEHPUR,4.417148362235067,74.83550096339114,1.9414739884393064,3.984585741811175,0.0,4.710741811175337,0.0,5.8126204238921,4.297687861271676
GHAZIABAD,12.979965156794425,79.57317073170732,1.6419860627177703,3.3780487804878048,0.0,0.3440766550522648,0.0,0.367595818815331,1.71602787456446
GORAKHPUR,10.171780986762936,78.09867629362215,1.151624548736462,1.4290012033694344,0.0,2.2885078219013235,0.0,0.7160048134777377,6.143802647412755
HAMIRPUR,2.665120820112277,77.27800829875518,0.28533072980229435,6.904564315352697,0.0,6.609714425189162,0.0,2.586038564803515,3.671222845984867
JALAUN,3.549616648411829,77.7934282584885,0.12814895947426067,6.140197152245345,0.0,5.446659364731654,0.0015334063526834614,4.60065717415115,2.3397590361445784
JHANSI,4.219546178343949,72.92436305732484,0.29179936305732485,4.122611464968153,0.0,8.231289808917197,0.0,7.105294585987261,3.104896496815287
KAUSHAMBI,10.438122332859175,72.35324798482694,6.01185395922238,2.025130393551446,0.0,0.9454717875770509,0.0,2.793741109530583,5.4324324324324325
Kansiram Nagar,4.787650602409638,81.320281124498,1.820281124497992,0.5562248995983936,0.0,0.22188755020080322,0.19979919678714858,3.5697791164658637,7.524096385542169
LALITPUR,2.113117682079778,69.45465370113118,0.37527287160150824,1.7308989878944234,0.0,14.848977971819805,0.0,4.766620361182774,6.71025997221671
MAHOBA,2.803780964797914,75.72425032594523,0.8044328552803129,5.395371577574967,0.0,7.2421773142112125,0.0,3.7056714471968717,4.32431551499348
MEERUT,8.610798650168729,82.43944506936633,2.0622422197225347,1.6782902137232847,0.0,1.5774278215223094,0.011998500187476566,0.42782152230971127,3.191226096737908
MIRZAPUR,2.605042016806723,52.202786377708975,0.8852277753206546,5.009066784608581,0.0,30.48297213622291,0.0,1.7943387881468378,7.020566121185317
MUZAFFARNAGAR,5.916438014467449,85.94562234971315,1.4108256423048142,2.0603641805936643,0.0,0.6487902220004989,0.5602394612122724,0.5692192566724869,2.8880019955101024
PRATAPGARH,3.580575733118106,66.19908528383105,14.237288135593221,3.459779391982782,0.0,2.255044390637611,0.0053806833467850415,5.952111918213613,4.310734463276836
SAHARANPUR,5.409867172675522,74.3963133640553,4.974518839793982,2.5210084033613445,0.0,8.680672268907562,0.07698563296286257,0.3228517213336948,3.617511520737328
SANT RAVIDAS NAGAR,11.480555555555556,76.21388888888889,2.2675925925925924,2.251851851851852,0.0,0.9277777777777778,0.0,2.0175925925925924,4.839814814814815
SHRAWASTI,3.629373474369406,76.0207485760781,3.8470301057770544,0.6106590724165989,0.0,11.465825874694874,0.006509357200976403,0.33279088689991865,4.087062652563059
SIDDHARTHNAGAR,5.3709239130434785,83.4711277173913,1.7279211956521738,2.541440217391304,0.0,1.364809782608696,0.003736413043478261,0.4154211956521739,5.103940217391305
SONBHADRA,2.0116381850324103,33.11255156157925,0.2314378314672952,3.7947849145550965,0.0,50.658515026517385,0.0,1.4180907483794931,8.77327637006482
VARANASI,12.404055032585083,78.49601737871107,1.4837074583635048,2.5452570601013758,0.0,0.5742215785662563,0.0,1.0926864590876177,3.4033309196234613
